t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.0425212606,25.2368066148,121.2775456625,43.9267313327,66.8090530378,417.7545757921,214.6291646628
0.0430215108,25.5254981209,121.3360349394,44.4392542110,66.7622170429,417.7922743430,214.7106446118
0.0435217609,25.8139038500,121.3945242163,44.9516280427,66.7151981805,417.8292266784,214.7921245608
0.0440220110,26.1020206162,121.4530134932,45.4638511239,66.6679737474,417.8654184200,214.8736045098
0.0445222611,26.3898452384,121.5115027701,45.9759217519,66.6205210400,417.9008351895,214.9550844587
0.0450225113,26.6773745402,121.5699920470,46.4878382248,66.5728173553,417.9354626087,215.0365644077
0.0455227614,26.9646053500,121.6284813239,46.9995988419,66.5248414462,417.9692862992,215.1180443567
0.0460230115,27.2515345011,121.6869706008,47.5112019034,66.4769329908,418.0022918828,215.1995243057
0.0465232616,27.5381588317,121.7454598777,48.0226457108,66.4293495413,418.0344649813,215.2810042546
0.0470235118,27.8244751851,121.8039491546,48.5339285663,66.3820685786,418.0657912163,215.3624842036
0.0475237619,28.1104804094,121.8624384315,49.0450487736,66.3350675837,418.0962562096,215.4439641526
0.0480240120,28.3961713580,121.9209277084,49.5560046371,66.2883240375,418.1258455828,215.5254441016
0.0485242621,28.6815448892,121.9794169853,50.0667944626,66.2418154210,418.1545449578,215.6069240505
0.0490245123,28.9665978668,122.0379062622,50.5774165568,66.1955192151,418.1823399562,215.6884039995
0.0495247624,29.2513271595,122.0963955391,51.0878692277,66.1494129008,418.2092161998,215.7698839485
0.0500250125,29.5357296415,122.1548848160,51.5981507844,66.1034739589,418.2351863302,215.8513638974
0.0505252626,29.8198021921,122.2133740929,52.1082595370,66.0576798706,418.2605042390,215.9328438464
0.0510255128,30.1035416963,122.2718633698,52.6181937968,66.0120081166,418.2852460217,216.0143237954
0.0515257629,30.3869450444,122.3303526467,53.1279518766,65.9664361779,418.3094245285,216.0958037444
0.0520260130,30.6700091320,122.3888419236,53.6375320898,65.9209415356,418.3330526095,216.1772836933
0.0525262631,30.9527308605,122.4473312005,54.1469327516,65.8755016705,418.3561431149,216.2587636423
0.0530265133,31.2351071368,122.5058204774,54.6561521779,65.8300940635,418.3787088948,216.3402435913
0.0535267634,31.5171348733,122.5643097543,55.1651886862,65.7846961957,418.4007627993,216.4217235403
0.0540270135,31.7988109884,122.6227990312,55.6740405950,65.7392855480,418.4223176786,216.5032034892
0.0545272636,32.0801324058,122.6812883081,56.1827062240,65.6938396012,418.4433863828,216.5846834382
0.0550275138,32.3610960555,122.7397775850,56.6911838944,65.6483358365,418.4639817620,216.6661633872
0.0555277639,32.6416988728,122.7982668619,57.1994719284,65.6027517346,418.4841166664,216.7476433362
0.0560280140,32.9219377994,122.8567561388,57.7075686496,65.5570647766,418.5038039461,216.8291232851
0.0565282641,33.2018097826,122.9152454157,58.2154723829,65.5112524434,418.5230564513,216.9106032341
0.0570285143,33.4813117758,122.9737346926,58.7231814545,65.4652922160,418.5418870320,216.9920831831
0.0575287644,33.7604407384,123.0322239695,59.2306941918,65.4191615752,418.5603085385,217.0735631321
0.0580290145,34.0391936359,123.0907132464,59.7380089236,65.3728380021,418.5783338208,217.1550430810
0.0585292646,34.3175674399,123.1492025233,60.2451239801,65.3262989775,418.5959757291,217.2365230300
0.0590295148,34.5955591284,123.2076918002,60.7520376926,65.2795219825,418.6132460126,217.3180029790
0.0595297649,34.8731656854,123.2661810771,61.2587483940,65.2324844980,418.6301371818,217.3994829280
0.0600300150,35.1503841012,123.3246703540,61.7652544184,65.1851640049,418.6466529149,217.4809628769
0.0605302651,35.4272113725,123.3831596309,62.2715541014,65.1375379841,418.6628040425,217.5624428259
0.0610305153,35.7036445024,123.4416489078,62.7776457800,65.0895839167,418.6786013949,217.6439227749
0.0615307654,35.9796805004,123.5001381847,63.2835277923,65.0412792835,418.6940558026,217.7254027239
0.0620310155,36.2553163825,123.5586274616,63.7891984783,64.9926015655,418.7091780962,217.8068826728
0.0625312656,36.5305491711,123.6171167385,64.2946561789,64.9435282437,418.7239791062,217.8883626218
0.0630315158,36.8053758955,123.6756060154,64.7998992368,64.8940367989,418.7384696629,217.9698425708
0.0635317659,37.0797935913,123.7340952923,65.3049259961,64.8441047122,418.7526605969,218.0513225198
0.0640320160,37.3537993009,123.7925845692,65.8097348021,64.7937094645,418.7665627386,218.1328024687
0.0645322661,37.6273900734,123.8510738461,66.3143240017,64.7428285367,418.7801869186,218.2142824177
0.0650325163,37.9005629646,123.9095631230,66.8186919435,64.6914394098,418.7935439672,218.2957623667
0.0655327664,38.1733150375,123.9680523999,67.3228369773,64.6395195648,418.8066447151,218.3772423157
0.0660330165,38.4456433613,124.0265416768,67.8267574544,64.5870428311,418.8194999926,218.4587222646
0.0665332666,38.7175450128,124.0850309537,68.3304517278,64.5339957639,418.8321206303,218.5402022136
0.0670335168,38.9890170753,124.1435202306,68.8339181518,64.4803966660,418.8445093804,218.6216821626
0.0675337669,39.2600566393,124.2020095075,69.3371550825,64.4262652704,418.8566430478,218.7031621116
0.0680340170,39.5306608023,124.2604987844,69.8401608772,64.3716213097,418.8685312249,218.7846420605
0.0685342671,39.8008266689,124.3189880613,70.3429338950,64.3164845168,418.8801877067,218.8661220095
0.0690345173,40.0705513509,124.3774773383,70.8454724965,64.2608746247,418.8916262884,218.9476019585
0.0695347674,40.3398319673,124.4359666152,71.3477750439,64.2048113660,418.9028607652,219.0290819075
0.0700350175,40.6086656443,124.4944558921,71.8498399009,64.1483144736,418.9139049324,219.1105618564
0.0705352676,40.8770495155,124.5529451690,72.3516654328,64.0914036804,418.9247725850,219.1920418054
0.0710355178,41.1449807216,124.6114344459,72.8532500066,64.0340987192,418.9354775182,219.2735217544
0.0715357679,41.4124564110,124.6699237228,73.3545919908,63.9764193227,418.9460335273,219.3550017034
0.0720360180,41.6794737392,124.7284129997,73.8556897557,63.9183852239,418.9564544075,219.4364816523
0.0725362681,41.9460298695,124.7869022766,74.3565416731,63.8600161556,418.9667539538,219.5179616013
0.0730365183,42.2121219726,124.8453915535,74.8571461164,63.8013318506,418.9769459615,219.5994415503
0.0735367684,42.4777472267,124.9038808304,75.3575014608,63.7423520417,418.9870442258,219.6809214992
0.0740370185,42.7429028176,124.9623701073,75.8576060831,63.6830964617,418.9970625419,219.7624014482
0.0745372686,43.0075859390,125.0208593842,76.3574583619,63.6235848436,419.0070147049,219.8438813972
0.0750375188,43.2717937920,125.0793486611,76.8570566772,63.5638369200,419.0169145100,219.9253613462
0.0755377689,43.5355235857,125.1378379380,77.3563994110,63.5038724239,419.0267757525,220.0068412951
0.0760380190,43.7987725369,125.1963272149,77.8554849468,63.4437110881,419.0366083194,220.0883212441
0.0765382691,44.0615378702,125.2548164918,78.3543116701,63.3833726454,419.0462847178,220.1698011931
0.0770385193,44.3238168181,125.3133057687,78.8528779679,63.3228768286,419.0557554881,220.2512811421
0.0775387694,44.5856066212,125.3717950456,79.3511822290,63.2622433705,419.0650448059,220.3327610910
0.0780390195,44.8469045280,125.4302843225,79.8492228440,63.2014920041,419.0741768466,220.4142410400
0.0785392696,45.1077077948,125.4887735994,80.3469982052,63.1406424620,419.0831757860,220.4957209890
0.0790395198,45.3680136863,125.5472628763,80.8445067067,63.0797144773,419.0920657995,220.5772009380
0.0795397699,45.6278194751,125.6057521532,81.3417467445,63.0187277826,419.1008710626,220.6586808869
0.0800400200,45.8871224421,125.6642414301,81.8387167163,62.9577021108,419.1096157510,220.7401608359
0.0805402701,46.1459198764,125.7227307070,82.3354150216,62.8966571947,419.1183240401,220.8216407849
0.0810405203,46.4042090752,125.7812199839,82.8318400617,62.8356127672,419.1270201055,220.9031207339
0.0815407704,46.6619873440,125.8397092608,83.3279902399,62.7745885611,419.1357281229,220.9846006828
0.0820410205,46.9192519970,125.8981985377,83.8238639611,62.7136043093,419.1444722676,221.0660806318
0.0825412706,47.1760003563,125.9566878146,84.3194596323,62.6526797445,419.1532767154,221.1475605808
0.0830415208,47.4322297526,126.0151770915,84.8147756623,62.5918345996,419.1621656416,221.2290405298
0.0835417709,47.6879375253,126.0736663684,85.3098104615,62.5310886073,419.1711632220,221.3105204787
0.0840420210,47.9431210219,126.1321556453,85.8045624426,62.4704615007,419.1802936320,221.3920004277
0.0845422711,48.1977775988,126.1906449222,86.2990300199,62.4099730124,419.1895810472,221.4734803767
0.0850425213,48.4519046208,126.2491341991,86.7932116098,62.3496428753,419.1990496431,221.5549603257
0.0855427714,48.7054994615,126.3076234760,87.2871056306,62.2894908222,419.2087208515,221.6364402746
0.0860430215,48.9585595030,126.3661127529,87.7807105023,62.2293029710,419.2184767635,221.7179202236
0.0865432716,49.2110821363,126.4246020298,88.2740246471,62.1688235633,419.2282539467,221.7994001726
0.0870435218,49.4630647611,126.4830913067,88.7670464890,62.1080708604,419.2380660746,221.8808801216
0.0875437719,49.7145047858,126.5415805836,89.2597744541,62.0470635684,419.2479268209,221.9623600705
0.0880440220,49.9653996278,126.6000698605,89.7522069704,61.9858203932,419.2578498591,222.0438400195
0.0885442721,50.2157467133,126.6585591374,90.2443424678,61.9243600407,419.2678488628,222.1253199685
0.0890445223,50.4655434776,126.7170484143,90.7361793783,61.8627012168,419.2779375057,222.2067999175
0.0895447724,50.7147873649,126.7755376912,91.2277161358,61.8008626277,419.2881294612,222.2882798664
0.0900450225,50.9634758283,126.8340269681,91.7189511765,61.7388629791,419.2984384031,222.3697598154
0.0905452726,51.2116063301,126.8925162450,92.2098829382,61.6767209770,419.3088780048,222.4512397644
0.0910455228,51.4591763416,126.9510055219,92.7005098610,61.6144553274,419.3194619400,222.5327197134
0.0915457729,51.7061833434,127.0094947988,93.1908303870,61.5520847363,419.3302038822,222.6141996623
0.0920460230,51.9526248252,127.0679840757,93.6808429603,61.4896279095,419.3411175050,222.6956796113
0.0925462731,52.1984982859,127.1264733526,94.1705460273,61.4271035530,419.3522164821,222.7771595603
0.0930465233,52.4438012336,127.1849626295,94.6599380360,61.3645303728,419.3635144870,222.8586395093
0.0935467734,52.6885311860,127.2434519064,95.1490174371,61.3019270749,419.3750251933,222.9401194582
0.0940470235,52.9326856698,127.3019411833,95.6377826828,61.2393123651,419.3867622746,223.0215994072
0.0945472736,53.1762622213,127.3604304602,96.1262322277,61.1767049494,419.3987466229,223.1030793562
0.0950475238,53.4192583861,127.4189197371,96.6143645287,61.1141235338,419.4112577046,223.1845593052
0.0955477739,53.6616717195,127.4774090140,97.1021780445,61.0515868242,419.4243635102,223.2660392541
0.0960480240,53.9034997862,127.5358982909,97.5896712361,60.9891135266,419.4379680769,223.3475192031
0.0965482741,54.1447401602,127.5943875678,98.0768425666,60.9267223469,419.4519754422,223.4289991521
0.0970485243,54.3853904254,127.6528768448,98.5636905012,60.8644319911,419.4662896435,223.5104791011
0.0975487744,54.6254481752,127.7113661217,99.0502135075,60.8022611650,419.4808147183,223.5919590500
0.0980490245,54.8649110128,127.7698553986,99.5364100550,60.7402285747,419.4954547038,223.6734389990
0.0985492746,55.1037765510,127.8283446755,100.0222786156,60.6783529262,419.5101136376,223.7549189480
0.0990495248,55.3420424122,127.8868339524,100.5078176633,60.6166529253,419.5246955570,223.8363988969
0.0995497749,55.5797062289,127.9453232293,100.9930256744,60.5551472780,419.5391044994,223.9178788459
0.1000500250,55.8167656433,128.0038125062,101.4779011272,60.4938546902,419.5532445023,223.9993587949
0.1005502751,56.0532183072,128.0623017831,101.9624425024,60.4327938680,419.5670196031,224.0808387439
0.1010505253,56.2890618828,128.1207910600,102.4466482830,60.3719835172,419.5803338391,224.1623186928
0.1015507754,56.5242940418,128.1792803369,102.9305169542,60.3114423437,419.5931657927,224.2437986418
0.1020510255,56.7589124661,128.2377696138,103.4140470034,60.2511890537,419.6061662039,224.3252785908
0.1025512756,56.9929148475,128.2962588907,103.8972369203,60.1912423529,419.6194420510,224.4067585398
0.1030515258,57.2262988881,128.3547481676,104.3800851969,60.1316209474,419.6329102338,224.4882384887
0.1035517759,57.4590622997,128.4132374445,104.8625903275,60.0723435431,419.6464876523,224.5697184377
0.1040520260,57.6912028045,128.4717267214,105.3447508086,60.0134288459,419.6600912061,224.6511983867
0.1045522761,57.9227181349,128.5302159983,105.8265651393,59.9548955618,419.6736377951,224.7326783357
0.1050525263,58.1536060333,128.5887052752,106.3080318206,59.8967623968,419.6870443192,224.8141582846
0.1055527764,58.3838642524,128.6471945521,106.7891493562,59.8389850884,419.7002276780,224.8956382336
0.1060530265,58.6134905553,128.7056838290,107.2699162519,59.7814589600,419.7131047715,224.9771181826
0.1065532766,58.8424827154,128.7641731059,107.7503310161,59.7241747555,419.7255924994,225.0585981316
0.1070535268,59.0708385162,128.8226623828,108.2303921592,59.6671250071,419.7376077615,225.1400780805
0.1075537769,59.2985557519,128.8811516597,108.7100981944,59.6103022470,419.7490674577,225.2215580295
0.1080540270,59.5256322269,128.9396409366,109.1894476370,59.5536990076,419.7598884878,225.3030379785
0.1085542771,59.7520657562,128.9981302135,109.6684390046,59.4973078213,419.7699877515,225.3845179275
0.1090545273,59.9778541651,129.0566194904,110.1470708176,59.4411212202,419.7792821486,225.4659978764
0.1095547774,60.2029952898,129.1151087673,110.6253415985,59.3851317366,419.7876885791,225.5474778254
0.1100550275,60.4274869766,129.1735980442,111.1032498723,59.3293319030,419.7951239426,225.6289577744
0.1105552776,60.6513270827,129.2320873211,111.5807941664,59.2737142515,419.8015051391,225.7104377234
0.1110555278,60.8745134758,129.2905765980,112.0579730107,59.2182713144,419.8072771107,225.7919176723
0.1115557779,61.0970440344,129.3490658749,112.5347849375,59.1629956241,419.8130139580,225.8733976213
0.1120560280,61.3189166476,129.4075551518,113.0112284816,59.1078797128,419.8186835237,225.9548775703
0.1125562781,61.5401292153,129.4660444287,113.4873021803,59.0529161129,419.8242525696,226.0363575193
0.1130565283,61.7606796480,129.5245337056,113.9630045733,58.9980973566,419.8296878576,226.1178374682
0.1135567784,61.9805658673,129.5830229825,114.4383342028,58.9434159762,419.8349561494,226.1993174172
0.1140570285,62.1997858053,129.6415122594,114.9132896137,58.8888645040,419.8400242069,226.2807973662
0.1145572786,62.4183374052,129.7000015363,115.3878693531,58.8344354723,419.8448587919,226.3622773152
0.1150575288,62.6362186211,129.7584908132,115.8620719707,58.7801214134,419.8494266663,226.4437572641
0.1155577789,62.8534274181,129.8169800901,116.3358960190,58.7259148597,419.8536945918,226.5252372131
0.1160580290,63.0699617719,129.8754693670,116.8093400528,58.6718083433,419.8576293304,226.6067171621
0.1165582791,63.2858196697,129.9339586439,117.2824026293,58.6177943966,419.8611976437,226.6881971111
0.1170585293,63.5009991093,129.9924479208,117.7550823086,58.5638655519,419.8643662938,226.7696770600
0.1175587794,63.7154981000,130.0509371977,118.2273776533,58.5100143414,419.8671020424,226.8511570090
0.1180590295,63.9293146619,130.1094264746,118.6992872283,58.4562332975,419.8693716512,226.9326369580
