t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.0405202601,-0.0402292717,-0.1444252996,0.1012071163,-0.3482902257,-0.4758732363,1.8964915352
0.0410205103,-0.0407049081,-0.1445589648,0.1024541422,-0.3481525326,-0.4759042659,1.8966301572
0.0415207604,-0.0411797800,-0.1446926300,0.1037010782,-0.3480148395,-0.4759352955,1.8967687791
0.0420210105,-0.0416538786,-0.1448262953,0.1049479232,-0.3478771464,-0.4759663251,1.8969074011
0.0425212606,-0.0421271953,-0.1449599605,0.1061946761,-0.3477394533,-0.4759973547,1.8970460230
0.0430215108,-0.0425997213,-0.1450936258,0.1074413357,-0.3476017602,-0.4760283843,1.8971846450
0.0435217609,-0.0430714479,-0.1452272910,0.1086879011,-0.3474640672,-0.4760594139,1.8973232669
0.0440220110,-0.0435423665,-0.1453609563,0.1099343711,-0.3473263744,-0.4760904436,1.8974618888
0.0445222611,-0.0440124684,-0.1454946215,0.1111807446,-0.3471886819,-0.4761214732,1.8976005108
0.0450225113,-0.0444817449,-0.1456282868,0.1124270206,-0.3470509893,-0.4761525028,1.8977391327
0.0455227614,-0.0449501874,-0.1457619520,0.1136731979,-0.3469132966,-0.4761835325,1.8978777547
0.0460230115,-0.0454177875,-0.1458956173,0.1149192754,-0.3467756036,-0.4762145621,1.8980163766
0.0465232616,-0.0458845364,-0.1460292825,0.1161652522,-0.3466379100,-0.4762455918,1.8981549986
0.0470235118,-0.0463504256,-0.1461629478,0.1174111269,-0.3465002158,-0.4762766215,1.8982936205
0.0475237619,-0.0468154467,-0.1462966130,0.1186568987,-0.3463625208,-0.4763076511,1.8984322424
0.0480240120,-0.0472795911,-0.1464302783,0.1199025663,-0.3462248246,-0.4763386808,1.8985708644
0.0485242621,-0.0477428504,-0.1465639435,0.1211481287,-0.3460871277,-0.4763697105,1.8987094863
0.0490245123,-0.0482052160,-0.1466976088,0.1223935849,-0.3459494305,-0.4764007402,1.8988481083
0.0495247624,-0.0486666796,-0.1468312740,0.1236389336,-0.3458117331,-0.4764317699,1.8989867302
0.0500250125,-0.0491272328,-0.1469649393,0.1248841739,-0.3456740360,-0.4764627996,1.8991253521
0.0505252626,-0.0495868671,-0.1470986045,0.1261293046,-0.3455363395,-0.4764938293,1.8992639741
0.0510255128,-0.0500455743,-0.1472322697,0.1273743246,-0.3453986439,-0.4765248590,1.8994025960
0.0515257629,-0.0505033460,-0.1473659350,0.1286192329,-0.3452609494,-0.4765558887,1.8995412180
0.0520260130,-0.0509601738,-0.1474996002,0.1298640284,-0.3451232556,-0.4765869184,1.8996798399
0.0525262631,-0.0514160495,-0.1476332655,0.1311087099,-0.3449855624,-0.4766179481,1.8998184619
0.0530265133,-0.0518709649,-0.1477669307,0.1323532764,-0.3448478695,-0.4766489779,1.8999570838
0.0535267634,-0.0523249116,-0.1479005960,0.1335977269,-0.3447101769,-0.4766800076,1.9000957057
0.0540270135,-0.0527778816,-0.1480342612,0.1348420601,-0.3445724844,-0.4767110373,1.9002343277
0.0545272636,-0.0532298666,-0.1481679265,0.1360862750,-0.3444347918,-0.4767420670,1.9003729496
0.0550275138,-0.0536808584,-0.1483015917,0.1373303706,-0.3442970988,-0.4767730967,1.9005115716
0.0555277639,-0.0541308489,-0.1484352570,0.1385743457,-0.3441594057,-0.4768041264,1.9006501935
0.0560280140,-0.0545798301,-0.1485689222,0.1398181993,-0.3440217126,-0.4768351562,1.9007888155
0.0565282641,-0.0550277938,-0.1487025875,0.1410619303,-0.3438840195,-0.4768661859,1.9009274374
0.0570285143,-0.0554747319,-0.1488362527,0.1423055375,-0.3437463264,-0.4768972156,1.9010660593
0.0575287644,-0.0559206366,-0.1489699180,0.1435490199,-0.3436086333,-0.4769282453,1.9012046813
0.0580290145,-0.0563654997,-0.1491035832,0.1447923764,-0.3434709402,-0.4769592750,1.9013433032
0.0585292646,-0.0568093133,-0.1492372485,0.1460356060,-0.3433332471,-0.4769903047,1.9014819252
0.0590295148,-0.0572520695,-0.1493709137,0.1472787075,-0.3431955540,-0.4770213344,1.9016205471
0.0595297649,-0.0576937603,-0.1495045789,0.1485216798,-0.3430578609,-0.4770523641,1.9017591691
0.0600300150,-0.0581343778,-0.1496382442,0.1497645219,-0.3429201678,-0.4770833938,1.9018977910
0.0605302651,-0.0585739142,-0.1497719094,0.1510072326,-0.3427824747,-0.4771144235,1.9020364129
0.0610305153,-0.0590123618,-0.1499055747,0.1522498109,-0.3426447816,-0.4771454532,1.9021750349
0.0615307654,-0.0594497125,-0.1500392399,0.1534922558,-0.3425070885,-0.4771764828,1.9023136568
