t,x_fit,y_fit,z_fit,x_target,y_target,z_target
0.5742871436,1.6719662953,-0.7205165649,0.9228164125,2.3457157341,-0.5896273122,0.9596951107
0.5747873937,1.6747097188,-0.7201490304,0.9245465789,1.8470329389,-0.6925106449,0.9611417551
0.5752876438,1.6774516719,-0.7197811685,0.9262772548,1.2626777538,-0.7855611067,0.9625883995
0.5757878939,1.6801921416,-0.7194129800,0.9280084346,0.8068038214,-0.8955565612,0.9640350438
0.5762881441,1.6829311150,-0.7190444656,0.9297401128,1.8348039041,-0.9949287726,0.9654816882
0.5767883942,1.6856685791,-0.7186756258,0.9314722840,2.4770106590,-1.0525258089,0.9669283326
0.5772886443,1.6884045209,-0.7183064614,0.9332049427,2.4923889967,-0.8615423435,0.9683749770
0.5777888944,1.6911389276,-0.7179369730,0.9349380832,2.0413201586,-0.3740913319,0.9698216213
0.5782891446,1.6938717860,-0.7175671612,0.9366717002,1.3889990845,-0.5142110664,0.9712682657
0.5787893947,1.6966030835,-0.7171970269,0.9384057881,0.8412754444,-0.6682442252,0.9727149101
0.5792896448,1.6993328069,-0.7168265705,0.9401403413,0.9514128124,-0.7244930309,0.9741615545
0.5797898949,1.7020609436,-0.7164557928,0.9418753544,2.1052557944,-0.7253004275,0.9756081988
0.5802901451,1.7047874805,-0.7160846945,0.9436108218,2.4998512547,-0.7256995321,0.9770548432
0.5807903952,1.7075124048,-0.7157132761,0.9453467380,2.3420731678,-0.7266154809,0.9785014876
0.5812906453,1.7102357037,-0.7153415385,0.9470830974,1.3463563663,-0.8672190314,0.9799481320
0.5817908954,1.7129573644,-0.7149694822,0.9488198945,0.6911370519,-1.0570487926,0.9813947763
0.5822911456,1.7156773740,-0.7145971079,0.9505571238,1.8020583396,-0.7608834185,0.9828414207
0.5827913957,1.7183957198,-0.7142244162,0.9522947797,2.2645629379,-0.4014380635,0.9842880651
0.5832916458,1.7211123889,-0.7138514079,0.9540328568,2.5249323930,-0.5392069037,0.9857347095
0.5837918959,1.7238273686,-0.7134780837,0.9557713493,2.1573440380,-0.6765447880,0.9871813538
0.5842921461,1.7265406461,-0.7131044441,0.9575102518,0.8262398995,-0.7324074917,0.9886279982
0.5847923962,1.7292522087,-0.7127304898,0.9592495588,1.5760027304,-0.7337017192,0.9900746426
0.5852926463,1.7319620438,-0.7123562216,0.9609892646,2.0136453619,-0.7345502808,0.9915212870
0.5857928964,1.7346701384,-0.7119816400,0.9627293638,2.2619086219,-0.7349288616,0.9929679313
0.5862931466,1.7373764801,-0.7116067458,0.9644698507,2.4318793552,-0.4941702749,0.9944145757
0.5867933967,1.7400810561,-0.7112315397,0.9662107198,2.5280916548,-1.0335454396,0.9958612201
0.5872936468,1.7427838537,-0.7108560222,0.9679519655,2.5185489700,-0.8165805124,0.9973078645
0.5877938969,1.7454848604,-0.7104801941,0.9696935823,0.7014318448,-0.7376834112,0.9987545088
0.5882941471,1.7481840634,-0.7101040560,0.9714355646,0.8019380832,-0.7382829193,1.0002011532
0.5887943972,1.7508814502,-0.7097276086,0.9731779067,1.0480880897,-0.7391900655,1.0016477976
0.5892946473,1.7535770082,-0.7093508526,0.9749206032,1.3476977579,-0.7399677312,1.0030944420
0.5897948974,1.7562707248,-0.7089737887,0.9766636485,1.6091512107,-0.7317127727,1.0045410863
0.5902951476,1.7589625874,-0.7085964174,0.9784070370,1.7408325713,-0.5611767458,1.0059877307
0.5907953977,1.7616525836,-0.7082187396,0.9801507630,2.5246038336,-0.3695677312,1.0074343751
0.5912956478,1.7643407007,-0.7078407558,0.9818948211,2.2014533847,-0.8479113434,1.0088810195
0.5917958979,1.7670269263,-0.7074624667,0.9836392056,1.6816182627,-0.9044029466,1.0103276638
0.5922961481,1.7697112480,-0.7070838731,0.9853839109,1.1472189454,-0.7427109397,1.0117743082
0.5927963982,1.7723936531,-0.7067049756,0.9871289315,0.7803759106,-0.7431940723,1.0132209526
0.5932966483,1.7750741292,-0.7063257747,0.9888742617,1.0261742318,-0.7439867416,1.0146675970
